date,text,likes_count,comments_count,reposts_count,views_count,article_or_link,final_url,article,тип,brand,name,price,old_price,rating,reviews,discount
2025-04-14 12:06:59,"Мужчины тоже устают, и им требуется перерыв на релакс и бьюти-процедуры. Только тсс… пусть это останется в тайне.

Угольная маска ART&FACT. — идеальный повод выключить телефон:

➖ Каолин обладает себорегулирующим действием. 
➖ Ниацинамид устраняет воспаления и сужает поры.
➖ Миндальная и молочная кислоты обновляют кожу, очищая поры от сальных пробок.

🛒 Артикул на Ozon: [#alias|www.ozon.ru/context/de...|https://www.ozon.ru/context/detail/id/306061825?utm_source=vk&utm_medium=smm&utm_campaign=vendor_org_139285_smm_vk_artfact_3735cm002_14-04-2025]
🛒 Артикул на WB: [#alias|www.wildberries.ru/catalog/37...|https://www.wildberries.ru/catalog/37937540/detail.aspx?utm_source=vk&utm_medium=smm&utm_campaign=285068-id-smm_vk_artfact_3735cm002_14-04-2025]",72.0,1.0,0.0,2649.0,306061825,,306061825,артикул,artfact.products,,,2444.0,,,
2023-02-02 14:54:56,"Особенная НОВИНКА 🤍 
 
В дерматологической серии DERMA THERAPY вышел новый продукт - Липидовосстанавливающий лосьон тройного действия Atopiderm Barrier 0+

Уже на WB [#alias|vk.cc/clgCaM|https://vk.cc/clgCaM] и OZON [#alias|ozon.ru/t/8Ryl6ge|https://ozon.ru/t/8Ryl6ge]❣
 
Атопический дерматит – достаточно распространенное хроническое заболевание кожи. Оно совершенно незаразно, однако доставляет значительные неудобства своему обладателю. 
 
По статистике, проявляется АД почти в 90% случаев еще в младенчестве. Среди взрослого населения атопиков 2-8%. Но даже по самым скромным подсчетам получается, что это сотни тысяч человек! 
 
Вылечить полностью это заболевание врачи пока не могут, зато в периоды ремиссии кожа таких людей превращается, по сути, просто в чувствительную. А теперь мы все подняли руки ✋ Потому что зимой и в переходные весенне-осенние периоды почти у всех нас кожа становится пересушенной и чувствительной. 
 
Тут на помощь как раз придет Atopiderm. Формулировка «тройного действия» в его названии неслучайно. Лосьон обеспечивает: 
💧 глубокое и пролонгированное увлажнение кожи 
💧 быстро снимает все неприятные ощущения (стянутость, зуд, шелушение) 
💧 укрепляет и восстанавливает естественный защитный барьер 
 
Подходит для всех и каждого! В том числе для малышей 0+, будущих мам и для людей, склонных к атопии. 
 
Лосьон не содержит красителей, отдушек и парабенов. Его формула одобрена дерматологами. А еще он легкий и впитывается мгновенно.",134.0,3.0,2.0,2532.0,https://vk.cc/clgCaM,https://www.wildberries.ru/catalog/142821506/detail.aspx,142821506,ссылка на WB,iconskin,Увлажняющий лосьон для чувствительной кожи лица и тела,,,,,
2025-08-12 12:49:42,"Продукт, который подарит коже красивый оттенок, словно после отпуска. Встречайте Капли-автозагар Sun Plus. 
 
Идеально подходят для лица и тела, гарантируя ровный и стойкий тон без полос и пятен. 
 
Что в составе? 
 
Дигидроксиацетон для эффекта естественного загара без воздействия солнца. 
Экстракт зелёного чая для тонуса кожи. 
Гиалуроновая кислота для увлажнения. 
 
Чтобы получить желанный оттенок, просто смешайте продукт (2–6 капель) с кремом или сывороткой (1/2 чайной ложки) и равномерно нанесите на чистую сухую кожу. 
 
Внимание: 
не используйте автозагар поверх тональных и солнцезащитных средств, а также продуктов, содержащих ретиноиды, кислоты, производные витамина С, и не контактируйте 6–8 часов с водой после применения. 
 
Наносите 2–3 раза в неделю для стойкого результата и наслаждайтесь безупречным загаром в любой сезон! 
 
Новинка уже доступна для заказа на сайте ([#alias|vk.cc/cOwlWF|vk.cc/cOwlWF]), WB ([#alias|vk.cc/cOwlZB|vk.cc/cOwlZB]), OZON ([#alias|vk.cc/cOwm1z|vk.cc/cOwm1z]), «Яндекс Маркете» ([#alias|vk.cc/cOwm67|vk.cc/cOwm67]).",31.0,0.0,0.0,2732.0,https://vk.cc/cOwlZB,https://www.wildberries.ru/catalog/469666182/detail.aspx?targetUrl=GP&utm_source=syte_geltek&utm_medium=cpc&utm_campaign=28247-id-syte_geltek_kapli_avtozagar,469666182,ссылка на WB,geltekcosmetics,Капли автозагар для лица и тела концентрат,,,,,
2025-02-25 09:20:07,"Новинка: гидрофильный бальзам для умывания и снятия макияжа 
 
Мы продолжаем ребрендинг в линейке The U, и вторым продуктом в новой упаковке стал гидрофильный бальзам Tochilka cleansing balm ([#alias|vk.cc/cIVwq3|https://vk.cc/cIVwq3]). 
 
Уверены, вы уже обратили внимание на его название :) 
 
Продукт получил его, потому что механизм дозирования средства напоминает точилку: вы проворачиваете крышку — и, словно стружка от карандаша, появляется порция бальзама. Это очень удобно и гигиенично. 
 
Бальзам удаляет всё: макияж, даже водостойкий, солнцезащитный крем, пыль, пот и другие загрязнения. Если вы страдаете от чёрных точек и комедонов, он поможет очистить поры и предотвратить их появление. 
 
Как пользоваться?
1. Нанесите немного бальзама на сухие чистые руки и «растопите» его до масляной текстуры. 
2. Помассируйте сухую кожу лица, шеи и декольте. 
3. Чтобы бальзам сэмульгировал на коже, то есть превратился в эмульсию, добавьте тёплую воду. Помассируйте кожу ещё 15–20 секунд и тщательно смойте средство. 
4. Завершите умывание гелем или пенкой, чтобы убрать остатки бальзама с кожи. 
 
Продукт подходит даже для чувствительной кожи, а благодаря маслу сладкого миндаля и сквалану не вызывает чувство стянутости после умывания. 
 
Уже в наличии на сайте (со скидкой 20%) ([#alias|vk.cc/cIVwq3|https://vk.cc/cIVwq3]) и маркетплейсах (WB ([#alias|vk.cc/cIVwyb|https://vk.cc/cIVwyb]), OZON ([#alias|vk.cc/cIVwDd|https://vk.cc/cIVwDd]), ЗЯ ([#alias|vk.cc/cIVwJj|https://vk.cc/cIVwJj])). 
 
Как вам такой формат продукта?",50.0,6.0,2.0,3081.0,https://vk.cc/cIVwyb,https://www.wildberries.ru/catalog/311659017/detail.aspx?targetUrl=GP,311659017,ссылка на WB,geltekcosmetics,Гидрофильный бальзам щербет для умывания и снятия макияжа,1411.0,2098.0,,,32.74547187797903
2024-12-19 16:04:55,"Бесконечно можно смотреть на три вещи: как горит огонь, течет вода и… распаковывают наши подарочные наборы.

Когда открывается заветная коробочка с баночками — это отдельный вид наслаждения и медитации, согласись?

✨ Новогодний набор масок — идеальное трио для девичника или релакса после тяжелого дня. SOS-набор сочетает очищение, интенсивное увлажнение, восстановление и дарит быстрое преображение.

Артикул на Ozon: [#alias|www.ozon.ru/context/de...|https://www.ozon.ru/context/detail/id/1635220846?utm_source=vk&utm_medium=smm&utm_campaign=vendor_org_139285_smm_vk_artfact_3382cm002_19-12-2024&erid=]
Артикул на WB: [#alias|www.wildberries.ru/catalog/24...|https://www.wildberries.ru/catalog/246162580/detail.aspx?utm_source=vk&utm_medium=smm&utm_campaign=285068-id-smm_vk_artfact_3382cm002_19-12-2024&erid=]

✨ А набор с дневником ухода — must-have для скинтеллектуала. С ним ты сможешь стать настоящим экспертом, отслеживать изменения и достигать результатов.

Артикул на Ozon: [#alias|www.ozon.ru/context/de...|https://www.ozon.ru/context/detail/id/1600968612?utm_source=vk&utm_medium=smm&utm_campaign=vendor_org_139285_smm_vk_artfact_3382cm002_19-12-2024&erid=]
Артикул на WB: [#alias|www.wildberries.ru/catalog/23...|https://www.wildberries.ru/catalog/237392092/detail.aspx?utm_source=vk&utm_medium=smm&utm_campaign=285068-id-smm_vk_artfact_3382cm002_19-12-2024&erid=]

Скорее заглядывай на Ozon и Wildberries и выбирай свой подарок!",43.0,0.0,0.0,2679.0,246162580,,246162580,артикул,artfact.products,Подарочный набор масок для лица,,,,,
2024-12-17 09:00:00,"🍑 3 причины обожать этот крем: 

1️⃣нежная текстура
2️⃣глубокое питание 
3️⃣богатый состав

Лучший продукт для зимы, когда сухой воздух обезвоживает кожу, а тёплые колготки вызывают раздражение и шелушение. 

Бонус: запах персика и яркая баночка! Хочется тут же надеть цветочное платье или закупиться свежими фруктами. 

Больше ярких красок! Только на Wb 👉🏼 [#alias|vois.mobz.click/bodycarevois|https://vois.mobz.click/bodycarevois]",0.0,0.0,1.0,941.0,https://vois.mobz.click/bodycarevois,https://www.wildberries.ru/catalog/148822805/detail.aspx?utm_campaign=342070-id-smm&utm_medium=148822805&utm_source=tg,148822805,ссылка-прослойка,vois,Крем для тела и рук увлажняющий 300 мл с пантенолом,,,,,
2024-11-15 15:30:00,"ЧЁРНАЯ ПЯТНИЦА 🖤💓 GIRLS, МЫ ДОЖДАЛИСЬ!

Яркая оранжевая баночка с мощным эффектом для твоей кожи рук и тела сейчас по красной цене!

Крем омолаживает и восстанавливает кожу, устраняет повреждения и интенсивно питает. В составе самые популярные ингредиенты для увлажнения: пантенол, витамин Е, масло абрикосовых косточек, масла ши и авокадо. 

300 мл

Скорее забирайте по скидке на Wb 👉🏼 [#alias|vois.mobz.click/bodycarevois|https://vois.mobz.click/bodycarevois]",0.0,2.0,0.0,764.0,https://vois.mobz.click/bodycarevois,https://www.wildberries.ru/catalog/148822805/detail.aspx?utm_campaign=342070-id-smm&utm_medium=148822805&utm_source=tg,148822805,ссылка-прослойка,vois,Крем для тела и рук увлажняющий 300 мл с пантенолом,,,,,
2024-05-27 10:47:16,"Купить баночки The U можно на WB и OZON, делимся артикулами👇🏻 

Keep Calm Toner [#alias|vk.cc/crg8pp|https://vk.cc/crg8pp]
Арт. WB: 145541537 
Арт. OZON: 851491011 
 
Nourishing Cream Mask [#alias|vk.cc/cx8TX7|https://vk.cc/cx8TX7]
Арт. WB: 210916590 
Арт. OZON: 1424293273 
 
Coffee Break Mask-Scrub [#alias|vk.cc/cx8TXW|https://vk.cc/cx8TXW]
Арт. WB: 58950428 
Арт. OZON: 467338185 
 
True Baby-Face Serum [#alias|vk.cc/cx8TYD|https://vk.cc/cx8TYD]
Арт. WB: 30184087 
Арт. OZON: 270104816 
 
Keep Calm Serum [#alias|vk.cc/cr4Gyn|https://vk.cc/cr4Gyn]
Арт. WB: 174240037 
Арт. OZON: 1150362528",7.0,0.0,0.0,93.0,145541537,,145541537,артикул,theu_club,Тоник для лица увлажняющий с центеллой,1000.0,1521.0,,,34.25378040762656
2025-11-27 14:30:00,"Иногда любовь причиняет боль… 💅🏻

Это мы про многоступенчатый уход и любимые баночки — при сочетании активов без понимания, они могут вызвать раздражение, аллергическую реакцию, а ты просто не получишь желаемого результата.

Найти продукты из карточек можно: 
✨ Ozon: [#alias|www.ozon.ru/brand/art-...|https://www.ozon.ru/brand/art-fact-100105255/]
💖 WB: [#alias|www.wildberries.ru/catalog/0/...|https://www.wildberries.ru/catalog/0/search.aspx?search=art%26fact]

Но мы не пугать тебя пришли, а поделиться классным понятным гайдом и помочь разобраться — листай карточки, сохраняй и не забудь поделиться с другом 💞",32.0,0.0,0.0,1074.0,100105255,,100105255,артикул,artfact.products,Игора краска для волос профессиональная тон 4- 3- и оттенки,1625.0,2902.0,,,44.00413507925568
2024-07-25 09:00:01,"Долгожданная новинка: крем с центеллой Keep Calm Cream уже в продаже! 💜 
 
Да, да, да! То, чего мы все так долго ждали, наконец случилось! Крем для лица — средство, которого так не хватало в нашей линейке для полноценного ухода за кожей. Но это в прошлом! 😌 
 
Крем с центеллой Keep Calm Cream ([#alias|vk.cc/cyEo3W|https://vk.cc/cyEo3W]) идеально дополняет тоник и сыворотку из этой же серии. Естественно, его можно и нужно сочетать и с другими нашими продуктами. 
 
Крем подходит для всех типов кожи, но особенно понравится тем, у кого она гиперчувствительная, обезвоженная и склонная к раздражениям. Его нежная текстура буквально тает на коже, быстро впитывается и дарит увлажнение без ощущения плёнки. Плюс он отлично подходит как база под макияж! 
 
Все компоненты состава направлены на оздоровление и восстановление кожи. Познакомимся с ними поближе. 
 
🌱 Масла авокадо и сладкого миндаля — это питательная бомба! Они увлажняют и питают кожу, делая её невероятно мягкой и гладкой. 
 
🌱 Экстракт ламинарии глубоко увлажняет кожу, ускоряет её заживление и регенерацию. 
 
🌱 Экстракт центеллы азиатской успокаивает, уменьшает чувствительность кожи, улучшает её восстановительные свойства. 
 
🌱 Фруктоолигосахариды — это пребиотики, которые поддерживают микробиом на поверхности кожи, помогая ей оставаться здоровой. 
 
🌱 Сквалан поддерживает высокий уровень увлажнённости кожи, смягчает её, борется с шелушением. 
 
Спеши попробовать новинку! 
 
Как говорится: keep calm and take the cream. 
 
WB: 244994473 
OZON: 1630360332",5.0,0.0,0.0,99.0,244994473,,244994473,артикул,theu_club,Увлажняющий крем для лица с центеллой 50 мл,934.0,1420.0,,,34.225352112676056
