article,status,brand,name,rating,reviews,n_mentions,total_likes,total_views,first_mention,last_mention
211466804,matched,wetty_lab,Крем для тела увлажняющий питательный для ухода,4.8,229.0,22,5,464,2024-12-18 15:29:51,2026-04-06 18:53:42
414386668,matched,art&fact,"Энзимная пудра для умывания с витамином C, 65 г",4.8,9933.0,9,360,8060,2025-07-29 10:35:59,2026-01-29 12:35:48
414386668,matched,art&fact,"Энзимная пудра для умывания с витамином C, 65 г",4.8,9935.0,9,360,8060,2025-07-29 10:35:59,2026-01-29 12:35:48
139625239,matched,vois,Пенка для умывания лица увлажняющая очищающая 150 мл,4.8,86492.0,5,18,4693,2024-06-24 12:00:02,2025-04-27 07:40:00
139625239,matched,vois,Пенка для умывания лица увлажняющая очищающая 150 мл,4.8,86492.0,5,18,4693,2024-06-24 12:00:02,2025-04-27 07:40:00
140130338,matched,vois,Масло для массажа тела увлажняющее антицеллюлитное 500мл,4.9,50716.0,4,33,7146,2024-09-13 09:00:01,2025-08-03 07:46:00
566983140,matched,art&fact,Набор масок для лица очищение и увлажнение,4.9,127.0,4,185,3474,2026-02-05 13:25:00,2026-03-05 13:28:46
566983140,matched,art&fact,Набор масок для лица очищение и увлажнение,4.8,131.0,4,185,3474,2026-02-05 13:25:00,2026-03-05 13:28:46
92442613,matched,vois,Маска для лица тканевая набор 30 шт,4.9,248668.0,4,41,6942,2024-09-17 09:00:01,2025-09-26 11:30:00
92442613,matched,vois,Маска для лица тканевая набор 30 шт,4.9,248668.0,4,41,6942,2024-09-17 09:00:01,2025-09-26 11:30:00
197560872,matched,vois,Матирующие салфетки для лица в футляре 120 шт,4.9,17360.0,3,10,4247,2024-11-21 09:00:00,2026-02-19 09:40:52
141631875,matched,vois,Сыворотка для роста ресниц и бровей восстановление,4.6,54013.0,3,25,4387,2025-05-08 11:00:00,2026-03-13 08:49:00
140483866,matched,vois,Бальзамы и скраб для губ увлажняющие подарочный набор 4 шт,4.9,41278.0,3,46,9337,2025-06-30 10:04:43,2025-11-03 13:54:33
760104825,matched,art&fact,"Маска для лица с кофеином, 50 мл",4.9,127.0,3,110,2855,2026-02-27 13:00:20,2026-03-31 09:00:21
760104825,matched,art&fact,"Маска для лица с кофеином, 50 мл",4.8,131.0,3,110,2855,2026-02-27 13:00:20,2026-03-31 09:00:21
694507304,matched,art&fact,"Шампунь для волос от выпадения, 400 мл",4.8,1264.0,3,118,2913,2026-01-08 10:00:00,2026-02-10 09:17:07
694507304,matched,art&fact,"Шампунь для волос от выпадения, 400 мл",4.8,1267.0,3,118,2913,2026-01-08 10:00:00,2026-02-10 09:17:07
246514001,matched,vois,Тоник для лица увлажняющий,4.9,35071.0,3,16,3453,2024-10-19 09:00:00,2025-04-19 09:58:55
