source_file,date,likes,comments,reposts,views,articles,links,text
aravia_searched_wb.json,1773754344,143,5,14,5189,,https://vk.cc/cVxxAP;https://vk.cc/cVxwNZ;https://vk.cc/cVxxHg;https://vk.cc/cVxxhb;vk.cc/cVxxYZ|https://vk.cc/cVxxYZ;https://vk.cc/cVxxlX;https://vk.cc/cVxxcT;vk.cc/cVxx8c|https://vk.cc/cVxx8c;https://vk.cc/cVxxO3;vk.cc/cVxsQk|https://vk.cc/cVxsQk;https://vk.cc/cVxwHI;vk.cc/cVxxqf|https://vk.cc/cVxxqf;https://vk.cc/cVxxvm;https://vk.cc/cVxxTX;https://vk.cc/cVxwNZ;https://vk.cc/cVxxqf;https://vk.cc/cVxxvm;https://vk.cc/cVxx8c;https://vk.cc/cVxxhb;https://vk.cc/cVxwX6;vk.cc/cVxxAP|https://vk.cc/cVxxAP;vk.cc/cVxxO3|https://vk.cc/cVxxO3;https://vk.cc/cVxxHg;https://vk.cc/cVxxTX;https://vk.cc/cVxxO3;https://vk.cc/cVxxYZ;vk.cc/cVxxlX|https://vk.cc/cVxxlX;https://vk.cc/cVxxcT;vk.cc/cVxwX6|https://vk.cc/cVxwX6;vk.cc/cVxxhb|https://vk.cc/cVxxhb;https://vk.cc/cVxxlX;https://vk.cc/cVxwHI;vk.cc/cVxsS4|https://vk.cc/cVxsS4;vk.cc/cVxxTX|https://vk.cc/cVxxTX;https://vk.cc/cVxxAP;vk.cc/cVxy41|https://vk.cc/cVxy41;https://vk.cc/cVxsQk;https://vk.cc/cVxx8c;https://vk.cc/cVxxYZ;https://vk.cc/cVxsS4;https://vk.cc/cVxtOM;vk.cc/cVxwHI|https://vk.cc/cVxwHI;vk.cc/cVxwNZ|https://vk.cc/cVxwNZ;https://vk.cc/cVxy41;vk.cc/cVxxvm|https://vk.cc/cVxxvm;vk.cc/cVxxHg|https://vk.cc/cVxxHg;https://vk.cc/cVxy41;vk.cc/cVxtOM|https://vk.cc/cVxtOM;https://vk.cc/cVxwX6;https://vk.cc/cVxsS4;https://vk.cc/cVxsQk;https://vk.cc/cVxxqf;vk.cc/cVxxcT|https://vk.cc/cVxxcT;https://vk.cc/cVxtOM,"Весна – не повод откладывать ретинол до осени 
 
Ретинол не «запрещен» весной и летом. Он не делает кожу тоньше и не вызывает пигментацию сам по себе 
Проблемы возникают тогда, когда нет SPF, есть агрессивные сочетания и нарушен барьер кожи 
 
Если сомневаетесь, оставлять ли ретинол в уходе – ориентируйтесь на состояние кожи, а не на календарь 
 
— Обновляющий гель для умывания: САЙТ [#alias|vk.cc/cVxsQk|https://vk.cc/cVxsQk] · WB [#alias|vk.cc/cVxsS4|https://vk.cc/cVxsS4] · OZON [#alias|vk.cc/cVxtOM|https://vk.cc/cVxtOM] 
— Тонер для лица: САЙТ [#alias|vk.cc/cVxwHI|https://vk.cc/cVxwHI] · WB [#alias|vk.cc/cVxwNZ|https://vk.cc/cVxwNZ] · OZON [#alias|vk.cc/cVxwX6|https://vk.cc/cVxwX6] 
— Крем для лица 0.7: САЙТ [#alias|vk.cc/cVxx8c|https://vk.cc/cVxx8c] · WB [#alias|vk.cc/cVxxcT|https://vk.cc/cVxxcT] · OZON [#alias|vk.cc/cVxxhb|https://vk.cc/cVxxhb] 
— Крем для лица 1.0: САЙТ [#alias|vk.cc/cVxxlX|https://vk.cc/cVxxlX] · WB [#alias|vk.cc/cVxxqf|https://vk.cc/cVxxqf] · OZON [#alias|vk.cc/cVxxvm|https://vk.cc/cVxxvm] 
— Крем для кожи вокруг глаз: САЙТ [#alias|vk.cc/cVxxAP|https://vk.cc/cVxxAP] · WB [#alias|vk.cc/cVxxHg|https://vk.cc/cVxxHg] · OZON [#alias|vk.cc/cVxxO3|https://vk.cc/cVxxO3] 
— Защитный крем-праймер для лица: : САЙТ [#alias|vk.cc/cVxxTX|https://vk.cc/cVxxTX] · WB [#alias|vk.cc/cVxxYZ|https://vk.cc/cVxxYZ] · OZON [#alias|vk.cc/cVxy41|https://vk.cc/cVxy41]
 
Вы используете ретинол круглый год или делаете паузу?"
aravia_searched_wb.json,1773399600,173,4,18,156108,,https://vk.cc/cVvePw;https://vk.cc/cVp7tr;vk.cc/cVp7ET|https://vk.cc/cVp7ET;vk.cc/cVvfiU|https://vk.cc/cVvfiU;vk.cc/cVvfnR|https://vk.cc/cVvfnR;https://vk.cc/cVvfnR;https://vk.cc/cVp7bA;https://vk.cc/cVp7bA;vk.cc/cVp7bA|https://vk.cc/cVp7bA;https://vk.cc/cVp7ET;https://vk.cc/cVp7RR;https://vk.cc/cVvfcf;https://vk.cc/cVp7oy;https://vk.cc/cVp7Nb;https://vk.cc/cVp7AE;https://vk.cc/cVp7RR;vk.cc/cVp7AE|https://vk.cc/cVp7AE;https://vk.cc/cVp7AE;https://vk.cc/cVp7Nb;https://vk.cc/cVvePw;https://vk.cc/cVp7oy;https://vk.cc/cVvfnR;https://vk.cc/cVvfiU;vk.cc/cVp7hg|https://vk.cc/cVp7hg;vk.cc/cVvfcf|https://vk.cc/cVvfcf;https://vk.cc/cVp7ET;vk.cc/cVp7Nb|https://vk.cc/cVp7Nb;https://vk.cc/cVp7tr;vk.cc/cVp7RR|https://vk.cc/cVp7RR;https://vk.cc/cVvfcf;vk.cc/cVp7tr|https://vk.cc/cVp7tr;vk.cc/cVp7oy|https://vk.cc/cVp7oy;https://vk.cc/cVp7hg;https://vk.cc/cVp7hg;https://vk.cc/cVvfiU;vk.cc/cVvePw|https://vk.cc/cVvePw,"Увлажняющий крем – база любого ухода 
 
Собрали для вас ТОП увлажняющих продуктов, которые особенно подойдут для ежедневного применения весной 
 
· Крем с церамидами и мочевиной – когда кожа шелушится, чувствует стянутость и нуждается в питании 
Подробнее на сайте [#alias|vk.cc/cVvePw|https://vk.cc/cVvePw] | WB [#alias|vk.cc/cVp7bA|https://vk.cc/cVp7bA] | Ozon [#alias|vk.cc/cVp7hg|https://vk.cc/cVp7hg] 
 
· Защитный липо-крем с маслом норки – когда необходим мгновенный результат 
Подробнее на сайте [#alias|vk.cc/cVvfcf|https://vk.cc/cVvfcf] | WB [#alias|vk.cc/cVp7oy|https://vk.cc/cVp7oy] | Ozon [#alias|vk.cc/cVp7tr|https://vk.cc/cVp7tr]
 
· Крем для лица интенсивно увлажняющий – когда необходимо укрепление защитного барьера кожи 
Подробнее на сайте[#alias|vk.cc/cVvfiU|https://vk.cc/cVvfiU] | WB [#alias|vk.cc/cVp7AE|https://vk.cc/cVp7AE] | Ozon [#alias|vk.cc/cVp7ET|https://vk.cc/cVp7ET] 
 
· Крем для лица с мочевиной и муцином улитки – когда необходимо восстановить барьерную функцию кожи 
Подробнее на сайте [#alias|vk.cc/cVvfnR|https://vk.cc/cVvfnR] | WB [#alias|vk.cc/cVp7Nb|https://vk.cc/cVp7Nb] | Ozon [#alias|vk.cc/cVp7RR|https://vk.cc/cVp7RR]
 
Напишите в комментариях свой любимый увлажняющий крем"
aravia_searched_wb.json,1766156365,119,5,5,1886,,https://vk.cc/cSxXOT;https://vk.cc/cSxXSz;https://vk.cc/cSxXFW;https://vk.cc/cSxYhp;https://vk.cc/cSxYdU;vk.cc/cSxYlP|https://vk.cc/cSxYlP;https://vk.cc/cSxYop;https://vk.cc/cSxXOT;vk.cc/cSxYsu|https://vk.cc/cSxYsu;vk.cc/cSxXSz|https://vk.cc/cSxXSz;vk.cc/cSxXFW|https://vk.cc/cSxXFW;https://vk.cc/cSxYsu;https://vk.cc/cSxXJQ;https://vk.cc/cSxYhp;https://vk.cc/cSxXJQ;https://vk.cc/cSxXSz;vk.cc/cSxYop|https://vk.cc/cSxYop;vk.cc/cSxXOT|https://vk.cc/cSxXOT;https://vk.cc/cSxYdU;vk.cc/cSxXJQ|https://vk.cc/cSxXJQ;https://vk.cc/cSxYlP;https://vk.cc/cSxYsu;vk.cc/cSxYdU|https://vk.cc/cSxYdU;https://vk.cc/cSxYop;https://vk.cc/cSxXFW;vk.cc/cSxYhp|https://vk.cc/cSxYhp;https://vk.cc/cSxYlP,"Рассказываем, как зимой сохранить здоровье и блеск волос 🤍 
 
Используйте средства, которые повышают защитные функции, глубоко увлажняют и предотвращают обезвоживание и сечение, а также устраняют ломкость и тусклость. 
 
Шампунь увлажняющий для восстановления сухих, обезвоженных волос Hydra Pure 
• на сайте [#alias|vk.cc/cSxXFW|https://vk.cc/cSxXFW] 
• на WB [#alias|vk.cc/cSxXJQ|https://vk.cc/cSxXJQ] 
• на OZON [#alias|vk.cc/cSxXOT|https://vk.cc/cSxXOT] 
 
Маска кератиновая для интенсивного питания и увлажнения волос Hydra Keratin SOS-Mask 
• на сайте [#alias|vk.cc/cSxXSz|https://vk.cc/cSxXSz] 
 • на WB [#alias|vk.cc/cSxYdU|https://vk.cc/cSxYdU] 
 • на OZON [#alias|vk.cc/cSxYhp|https://vk.cc/cSxYhp] 
 
Крем-уход восстанавливающий для глубокого увлажнения сухих и обезвоженных волос Hydra Gloss Cream 
 • на сайте [#alias|vk.cc/cSxYlP|https://vk.cc/cSxYlP] 
 • на WB [#alias|vk.cc/cSxYop|https://vk.cc/cSxYop] 
 • на OZON [#alias|vk.cc/cSxYsu|https://vk.cc/cSxYsu] 
 
Расскажите, как вы защищаете волосы в зимний период?"
aravia_searched_wb.json,1723532490,0,0,0,,,https://www.wildberries.ru/brands/16651-aravia-professional,"[id145025318|Лена], да, наша продукция представлена на WB. Вот ссылка https://www.wildberries.ru/brands/16651-aravia-professional 💜"
aravia_searched_wb.json,1705909012,1,0,0,,64976246,,"[id771872297|Елена], здравствуйте!
Приносим извинение за долгий ответ.
Артикул на WB: 64976246"
aravia_searched_wb.json,1705315858,0,0,0,,198332496,,"[id5461130|Ксения], здравствуйте!
На сайте раскупили 😱
Артикул на WB: 198332496"
artfact.products_searched_wb.json,1775487359,17,0,0,592,,clc.to/QP-Tdw|https://clc.to/QP-Tdw;https://clc.to/QP-Tdw;https://clc.to/62mO2g;https://clc.to/62mO2g;https://clc.to/QP-Tdw;https://clc.to/wPCPeA;clc.to/wPCPeA|https://clc.to/wPCPeA;https://clc.to/wPCPeA;clc.to/62mO2g|https://clc.to/62mO2g,"Запускаем бьюти-монополию! 🎲

Помнишь, как в детстве с азартом бросали кубик, покупали улицы и строили отели в Монополии? Мы решили подарить те же эмоции, но теперь – с возможностью выиграть не просто игру, а крутой уход за кожей!

До 30 апреля сыграй в нашу бьюти-монополию «Поле фактов» на Ozon, WB и Яндекс.Маркете и получи скидку 20% на средства.*

💡Как играть?
- Выбери «улицу» под запрос твоей кожи (glow-up, анти-акне, увлажнение и т. д.).
- Добавь продукты из подборки в корзину.
- Примени промокод:
  - AFPOLE20 – для Ozon и WB.
  - POLEAF20 – для Яндекс.Маркета.

🎁 Победа — это полноценный уход со скидкой!

*Акция действует только на товары бренда, представленные в игре.

OZON ([#alias|clc.to/QP-Tdw|https://clc.to/QP-Tdw]) | WB ([#alias|clc.to/wPCPeA|https://clc.to/wPCPeA]) | ЯМ ([#alias|clc.to/62mO2g|https://clc.to/62mO2g])

Удачной игры ❤️"
artfact.products_searched_wb.json,1775140716,24,2,0,1000,,clc.to/7vgjiQ|https://clc.to/7vgjiQ;https://clc.to/s94FSA;https://clc.to/7vgjiQ;clc.to/SpQOHQ|https://clc.to/SpQOHQ;https://clc.to/fSu0LA;https://clc.to/fSu0LA;clc.to/s94FSA|https://clc.to/s94FSA;https://clc.to/s94FSA;https://clc.to/SpQOHQ;clc.to/fSu0LA|https://clc.to/fSu0LA;https://clc.to/7vgjiQ;https://clc.to/SpQOHQ,"Первое апреля прошло, а, значит, это точно не шутка! 
Мы запускаем новую категорию средств😍

Да, ты всё правильно поняла: к сезону «голых ног» мы разработали не типичную для нас новинку — мусс-автозагар с уходовыми компонентами в составе. Все, как мы любим!

Он не только придает коже ровный красивый оттенок, но и заботится о ней, делая загар мягким и сияющим, а кожу гладкой и увлажненной.

А ещё мусс ну очень приятно пахнет и доступен в двух оттенках, чтобы ты смогла подобрать идеальный тон.

В чём секрет? Рассказали в карточках ✨

Светлый - WB ([#alias|clc.to/SpQOHQ|https://clc.to/SpQOHQ]) | OZON ([#alias|clc.to/7vgjiQ|https://clc.to/7vgjiQ]) 
Темный - WB ([#alias|clc.to/s94FSA|https://clc.to/s94FSA]) | OZON ([#alias|clc.to/fSu0LA|https://clc.to/fSu0LA])

А до 7 апреля дарим промокод AFZAGAR, который даст скидку на 50% на WB и OZON!"
artfact.products_searched_wb.json,1774947621,40,3,0,991,,https://vk.cc/cW35dc;https://vk.cc/cW35g2;vk.cc/cW35g2|https://vk.cc/cW35g2;vk.cc/cW35dc|https://vk.cc/cW35dc;https://vk.cc/cW35g2;https://vk.cc/cW35dc,"Когда продукт становится не просто баночкой в ванной, а поводом для искреннего разговора🤍

Пять инфлюенсеров и друзей бренда попробовали маску «К себе нежно», и каждый поделился своими ритуалами заботы. Ведь речь не просто о средстве, а о моменте, когда удалось выдохнуть и побыть наедине с собой.

WB ([#alias|vk.cc/cW35g2|https://vk.cc/cW35g2]) | OZON ([#alias|vk.cc/cW35dc|https://vk.cc/cW35dc]) 

Листай и делись своими советами🌸"
artfact.products_searched_wb.json,1774528096,53,4,0,1008,,https://vk.cc/cVU12E;vk.cc/cVU12E|https://vk.cc/cVU12E;https://vk.cc/cVU12E;vk.cc/cVU14O|https://vk.cc/cVU14O;https://vk.cc/cVU14O;https://vk.cc/cVU14O,"Да кто такие эти ваши микроиглы? Без паники — сейчас всё расскажем! 😌

Мы создали новый классный продукт — маску со спикулами. 

Спикулы — это микроскопические иглы природного происхождения, которые мягко воздействуют на кожу, создавая микро-каналы и помогая ингредиентам проникать глубже.

В основе маски настоящий коктейль силы:

🤍 Ниацинамид + Арбутин + Транексамовая кислота + Троксерутин.
Вместе они творят чудеса — выравнивают тон, осветляют пигментацию и дарят коже здоровое сияние. 

WB ([#alias|vk.cc/cVU14O|https://vk.cc/cVU14O]) | OZON ([#alias|vk.cc/cVU12E|https://vk.cc/cVU12E])

Как? Рассказали в карточках! 💜

А до 1 апреля дарим тебе промокод spikuly15, который даст скидку 15% на OZON."
artfact.products_searched_wb.json,1774342809,34,0,1,792,,vk.cc/cVOzit|https://vk.cc/cVOzit;https://vk.cc/cVOzlO;https://vk.cc/cVOzit;https://vk.cc/cVOzlO;https://vk.cc/cVOzit;vk.cc/cVOzlO|https://vk.cc/cVOzlO,"У тебя тоже бывает так: стоишь перед зеркалом с чистой головой, а она как будто вообще и не чистая?…

💭 В новом выпуске «Правила кожи» Мари Кадырова, профи в уходе за волосами, поделилась своими полезными советами, как лучше очищать волосы.

Листай и сохраняй советы от Мари!
💗Шампунь для глубокой очистки доступен для заказа на Ozon ([#alias|vk.cc/cVOzlO|https://vk.cc/cVOzlO]) и WB ([#alias|vk.cc/cVOzit|https://vk.cc/cVOzit]).

#правилакожи@artfactproducts"
